IKTIMIDS,./stben/TSO VTAM (IKT)/IKTIMIDS,57421559ac1f90cf986d22e8c1bcaba8898dd88c2206850cb715dac6434f071c
IKTCAS33,./stben/TSO VTAM (IKT)/IKTCAS33,e1eac16bd0989895b89d9ec11c62d9e08d6eb0dbcd34a66f11ee11a7b1999d68
IKTASCII,./stben/TSO VTAM (IKT)/IKTASCII,f75247f079f7f836c76f25d487953494905370069d922755bb2e67dc127c39d5
IKTCAS20,./stben/TSO VTAM (IKT)/IKTCAS20,49303cbb38b74322d87a744780c03cca3c7f3350976e0d3e301624588302d32e
IKTCAS40,./stben/TSO VTAM (IKT)/IKTCAS40,96f628a44573d80f92681de10a59a08a9e59bf3bdd313bbeea33fbd7968d3695
IKTXMTPT,./stben/TSO VTAM (IKT)/IKTXMTPT,f2b5a11c776fb04f41d18a5d3092093f9608606e36138f24040459f84a7af8cd
IKT0940D,./stben/TSO VTAM (IKT)/IKT0940D,6fd1a57ca20ec7672fa30ffd41216da3867dd2f7ca332e67e368b994adaf23a3
IKTCAS23,./stben/TSO VTAM (IKT)/IKTCAS23,6a2354cd5bb2e514ecab70d024614209a955caedcbf2d73bab4ec70c15ade6f9
IKTCAS21,./stben/TSO VTAM (IKT)/IKTCAS21,2706158e90f53dfec10dea612ade84d0f54fdbeab10d49fd6e2f02fa40740302
IKT0009D,./stben/TSO VTAM (IKT)/IKT0009D,09dcf6b9a67716b0e11374c1366b3a2b6b7bedc881c72967f7d1a8f942c5d996
IKT09401,./stben/TSO VTAM (IKT)/IKT09401,d3f4ed4ed7099d7c9e4d1e0cca510a4f1f8a73b6ca465dca53406b228dc5be8d
IKTCAS41,./stben/TSO VTAM (IKT)/IKTCAS41,7d50df922b79093ff51eda4a7234a7e7fada46d4c685cd0051dc6e52ff529c9e
IKTIST00,./stben/TSO VTAM (IKT)/IKTIST00,4b619b885c55cc4b6439d6dcde658f1cf46657c65c93c5e95cb5222232d0363e
IKTLOGR,./stben/TSO VTAM (IKT)/IKTLOGR,68f713c3aaac7677e597f14b8836e027e3124da74dfebeb6bf76b6392abaa4c7
IKTAY8,./stben/TSO VTAM (IKT)/IKTAY8,988135e626a8f33eb99410df10fac06ae00db0feff2e0ccd796d3d0a878a2e8b
